brand,model,year,kilometer,engine,transmission,fuel,nb_of_doors,price
Toyota,Camry Hybrid XLE FWD,2014,"99,210",200 hp 2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$15,499"
Toyota,4Runner Limited 4WD,2014,"132,235",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$20,990"
Toyota,Corolla SE FWD,2020,"36,164",2L I4,Continuously Variable Transmission,Gasoline,4 doors,"$18,791"
Toyota,Corolla LE FWD,2022,"28,808",1.8L I4,Automatic,Gasoline,4 doors,"$18,389"
Toyota,4Runner TRD Pro 4WD,2021,"34,690",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$47,799"
Toyota,Highlander Limited AWD,2014,"72,987",270 hp 3.5L V6,Automatic,Gasoline,4 doors,"$19,995"
Toyota,Highlander Hybrid Limited Platinum,2016,"83,374",280 hp 3.5L V6 Hybrid,Automatic,Hybrid,4 doors,"$22,991"
Toyota,Tacoma SR V6 Double Cab 4WD,2021,"29,950",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$32,300"
Toyota,4Runner TRD Off-Road 4WD,2022,"39,167",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$35,885"
Toyota,RAV4 Base 4WD,2011,"117,300",179 hp 2.5L I4,4-Speed Automatic,Gasoline,4 doors,"$9,990"
Toyota,RAV4 Hybrid XSE AWD,2021,"96,957",2.5L I4 Hybrid,Automatic,Hybrid,4 doors,"$23,699"
Toyota,Tundra SR5 5.7L Double Cab RWD,2007,"187,691",381 hp 5.7L V8,6-Speed Automatic,Gasoline,4 doors,"$11,497"
Toyota,Sienna XLE 7-Passenger FWD,2022,"44,165",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$38,941"
